时间,排名,热搜内容,地域,主题,上榜时间,最后时间
2020/2/13 12:00,3,4次检测阴性第5次才确诊,国内,疫情,2020/2/13 16:36,"2020/2/13
9:52"
2020/2/13 12:00,7,运20 天河机场,国内-湖北-武汉,军队,2020/2/13 16:20,"2020/2/13
9:50"
2020/2/13 12:00,9,疑似或确诊孕产妇产检和分娩定点医院,国内,医护-定点医院,2020/2/13 13:54,"2020/2/13
7:34"
2020/2/13 12:00,10,军队增派2600名医护人员支援武汉,国内,军队,2020/2/13 15:48,"2020/2/13
10:06"
2020/2/13 12:00,11,俄外交部发言人用中文为中国加油,国外-俄罗斯,新闻,2020/2/13 14:16,"2020/2/13
8:30"
2020/2/13 12:00,14,专家福尔摩斯式破解聚集性疫情,国内,疫情,2020/2/13 13:20,"2020/2/13
7:48"
2020/2/13 12:00,15,湖北十堰张湾区实施战时管制,国内-湖北,防控-战时管制,2020/2/13 13:16,"2020/2/13
7:18"
2020/2/13 12:00,18,天津公开第三例死亡病例抢救措施,国内-天津,疫情-死亡|抢救,2020/2/13 15:26,"2020/2/13
11:14"
2020/2/13 12:00,20,95后男护士病房内带患者打太极,国内,医护,2020/2/13 14:36,"2020/2/13
9:52"
2020/2/13 12:00,21,捐赠者中华儿女,国内,群众-捐赠,2020/2/13 14:46,"2020/2/13
9:24"
2020/2/13 12:00,26,疫情期间妨害公务被判10个月,国内,群众-妨碍公务,2020/2/13 13:56,"2020/2/13
10:50"
2020/2/13 12:00,29,西藏连续14天无新增病例,国内-西藏,疫情-减少,2020/2/13 13:22,"2020/2/13
11:10"
2020/2/13 12:00,30,一条劳力士的回家路,国内,新闻,2020/2/13 13:24,"2020/2/12
22:30"
2020/2/13 12:00,33,12日新增1485人驰援湖北,国内,医护-驰援,2020/2/13 13:08,"2020/2/13
10:08"
2020/2/13 12:00,34,国务院常务会议 防止大规模裁员,国内,政府,2020/2/13 13:06,"2020/2/12
20:50"
2020/2/13 12:00,35,万万没想到这个愿望成真了,国内,教育,2020/2/13 13:12,"2020/2/12
21:52"
2020/2/13 12:00,36,世界移动通信大会取消,国内,其他,2020/2/13 13:08,"2020/2/13
9:16"
2020/2/13 12:00,37,张流波 所有消毒剂对新冠病毒都有效,国内,专家-张流波,2020/2/13 13:00,"2020/2/12
23:06"
2020/2/13 12:00,38,一人扛起一整条生产线,国内,群众-生产线,2020/2/13 12:56,"2020/2/12
21:54"
2020/2/13 12:00,42,日本芭蕾舞团唱中国国歌,国外-日本,新闻,2020/2/13 13:06,"2020/2/12
22:28"
2020/2/13 12:00,43,黑龙江316人医疗队驰援湖北孝感,国内-黑龙江,医护-驰援,2020/2/13 12:34,"2020/2/13
7:22"
2020/2/13 12:00,49,一线医护的真实工作状态,国内,医护-工作状态,2020/2/13 12:20,"2020/2/12
23:22"
2020/2/12 12:00,1,新冠病毒疫苗可能在18个月内完成,国内,疫情-疫苗,2020/2/12 15:50,"2020/2/12
7:32"
2020/2/12 12:00,4,岳云鹏 等疫情过去我请你们看相声,国内,群众-岳云鹏,2020/2/12 19:36,"2020/2/12
11:12"
2020/2/12 12:00,8,钟南山 新冠肺炎疫情有望4月前结束,国内,人物-钟南山,2020/2/12 15:30,"2020/2/12
7:08"
2020/2/12 12:00,9,出版社回应儿童刊物称果子狸可吃,国内,新闻,2020/2/12 15:12,"2020/2/12
7:32"
2020/2/12 12:00,10,全国累计确诊新冠肺炎44653例,国内,疫情-播报,2020/2/12 14:28,"2020/2/12
10:50"
2020/2/12 12:00,11,钟南山称李文亮为英雄,国内,人物-钟南山|李文亮,2020/2/12 14:14,"2020/2/12
7:24"
2020/2/12 12:00,12,患者感染程度与机体免疫状态密切相关,国内,疫情-知识,2020/2/12 14:02,"2020/2/12
9:50"
2020/2/12 12:00,13,日本邮轮确诊174例新冠肺炎,国外-日本,疫情-确诊|邮轮,2020/2/12 13:40,"2020/2/12
8:58"
2020/2/12 12:00,14,最新疫情地图,国内,疫情-地图,2020/2/12 19:48,"2020/1/25
17:12"
2020/2/12 12:00,20,奶奶每天给ICU老伴写情书,国内,其他-感情,2020/2/12 15:02,"2020/2/12
11:22"
2020/2/12 12:00,21,黑龙江32岁民警倒在抗疫一线,国内,防控-民警,2020/2/12 13:36,"2020/2/12
11:06"
2020/2/12 12:00,25,武汉方舱医院的盒饭,国内-湖北-武汉,医护-工作环境,2020/2/12 14:34,"2020/2/12
8:12"
2020/2/12 12:00,26,北京各校不得以任何形式集体上新课,国内,防控-学校,2020/2/12 13:20,"2020/2/12
9:50"
2020/2/12 12:00,27,疫情期间的硬核穿搭,国内,其他,2020/2/12 13:08,"2020/2/12
10:14"
2020/2/12 12:00,28,COVID-19,国内,疫情,2020/2/12 14:14,"2020/2/12
8:58"
2020/2/12 12:00,29,谢娜鼓励援汉医护人员,国内,群众-谢娜,2020/2/12 13:14,"2020/2/12
7:30"
2020/2/12 12:00,32,急救中心司机穿尿不湿接患者,国内,群众-司机,2020/2/12 12:58,"2020/2/12
9:52"
2020/2/12 12:00,34,法国前总理为中国加油,国外-法国,新闻,2020/2/12 14:18,"2020/2/12
11:48"
2020/2/12 12:00,35,抗疫一线护士用回形针戒指求婚,国内,其他-感情|护士,2020/2/12 13:28,"2020/2/12
10:56"
